2850872, 152839
5325297, 651506
7451533, 651506
5325285, 415388
5325291, 415389
5325274, 651507
8371198, 651507
5325289, 78696
5308801, 651517
3092959, 99021
3092960, 314051
3092961, 99022
2977807, 468123
2977887, 1472298
2941355, 1495516
2941619, 392766
8660974, 392766
2977904, 1359235
2977854, 468124
2977897, 681399
3794952, 1186076
2977882, 1359236
7274083, 112814
3878320, 312351
3878292, 312409
3878250, 312410
3878235, 112815
3878213, 312411
3878200, 312412
2813169, 331155
3045602, 1394152
3049670, 311920
8562839, 311920
2888733, 86866
7272454, 486693
5599251, 180068
5599213, 761853
5599204, 761854
8287285, 1630336
5599193, 761855
5334278, 105883
5599183, 1630345
5599154, 1112106
5599124, 1630337
5599112, 761856
5599106, 761860
8446704, 761860
5599101, 1630338
5599092, 761857
5599083, 620776
5599055, 761858
5599050, 1112099
7272679, 761859
5599003, 86867
7837758, 86867
7272664, 761861
5598992, 1112097
7987000, 1112097
7326164, 126357
7326165, 126358
3152705, 183218
8183892, 183218
3941021, 1610808
8690975, 1610808
3940984, 1401368
3940931, 1682376
7481423, 1610810
3152707, 455045
3940858, 183219
3152706, 183220
3152709, 1170222
8312665, 1170222
3940600, 1898876
3933313, 1610821
8705453, 1610821
3933326, 1610815
2684876, 3319
8061855, 3319
2685484, 45372
7906030, 45372
2685524, 97174
7499737, 97174
8613939, 97174
2685383, 90345
2685387, 90345
2685599, 123605
2685519, 698325
2685556, 190817
2685479, 66168
7602627, 66168
2685326, 74306
7897731, 74306
2685569, 425836
2685628, 338078
2685580, 97173
7994155, 97173
2685456, 425837
7788777, 425837
2685476, 425838
2685303, 425839
2685561, 190817
2685597, 1045215
2685353, 97166
2685646, 745662
2685636, 97167
4191789, 1045216
2685414, 78260
2685510, 425840
2685463, 425841
8298662, 425841
2685318, 97172
7662200, 97172
4191722, 1045217
7709523, 1045217
2685440, 590040
8261526, 590040
8580825, 590040
2685361, 46611
7689575, 46611
7809076, 46611
7998867, 46611
8004508, 46611
2685507, 425842
2685611, 525716
2685576, 500449
2685542, 97168
2685663, 78261
8326713, 342582
2685681, 97170
2685313, 34340
7599086, 34340
7719191, 34340
2685589, 587726
2685422, 3320
2685608, 78263
2685473, 928731
2685577, 97176
2685601, 97171
8535365, 97171
2685552, 97177
2685458, 1055014
2685546, 88725
8535397, 88725
2685398, 1333696
7500196, 1333696
2685683, 425843
7939927, 425843
2685464, 56046
2685308, 97175
2685593, 1045218
2685527, 425948
2685437, 78264
7808939, 78264
8651297, 78264
2685574, 1137612
2685656, 1333697
2685436, 1535755
2685654, 97169
7516072, 97169
8088527, 97169
2685619, 342581
8280889, 342581
2685360, 1045220
2685475, 928733
7707489, 928733
8534286, 928733
2685400, 78262
2685648, 1108717
2685302, 745664
2685314, 425844
7761302, 61533
5283402, 61542
5283401, 1357581
2712016, 76407
2708221, 529420
2708407, 76408
2708261, 269557
2709068, 269558
7317915, 44761
3625445, 44762
8227347, 44762
2692513, 101604
2692521, 101605
7904957, 101605
2692576, 202384
8273204, 202384
2692557, 179120
2692564, 584527
7668339, 584527
4890936, 289243
8280399, 289784
7883187, 289786
8357890, 289789
7854699, 418440
7455358, 289792
6420203, 381217
8114809, 381217
3607044, 381224
3607036, 381218
3607033, 381221
3607026, 221313
3606997, 1631473
3606991, 381233
3606985, 221317
3606959, 381247
3606950, 221325
8665141, 221325
7315514, 381253
8033055, 1631471
3606920, 192770
3606913, 381259
3606893, 381261
3606884, 194425
3234061, 82453
8232033, 82454
5547677, 82454
7932036, 82454
2697803, 261211
2699386, 261212
3086103, 76710
5384873, 363194
5384881, 363195
5384874, 427774
5384900, 427775
5384889, 117576
8690876, 117576
5384869, 363196
7598203, 363196
5553601, 1641710
5384870, 363197
5384880, 363198
4924536, 85554
7278650, 49579
7580240, 49579
3138519, 84584
3138522, 316951
8633392, 316951
3138545, 84585
3138541, 316952
3138542, 316953
7726764, 316953
4218382, 316953
3138529, 316954
3138533, 316955
3138527, 316956
3138530, 174444
3138524, 316957
8390519, 316957
3138523, 316958
3138547, 316959
3138543, 316960
3138521, 316961
3138536, 316962
3138538, 316963
8542607, 316963
3138539, 316964
3138532, 316965
3138531, 316966
3138548, 316967
2661458, 131039
2661459, 131040
2943776, 3815
5634252, 858909
5348712, 3816
8333488, 3816
